Release,e-tag,HepMC,Herwig7,MadGraph,Pythia8,Sherpa,EvtGen,Lhapdf,Starlight,Superchic,Rivet,PowhegATLAS
19.2.1.6,e3566,2.6.8,None,2.2.2.p1,186,2.1.1,1.2.0,6.1.4,None,None,2.2.0,00-02-01
19.2.3.3.2,e3601,2.6.8,None,2.2.2.p2,186,2.1.1,1.2.0,6.1.4,None,None,2.2.0,00-02-02
19.2.3.8,e3848,2.6.8,None,2.2.2.p4,186,2.1.1,1.2.0,6.1.4,None,None,2.2.0,00-03-01
19.2.3.8,e3869,2.6.8,None,2.2.2.p4,186,2.1.1,1.2.0,6.1.4,None,None,2.2.0,00-03-01
19.2.3.8,e3878,2.6.8,None,2.2.2.p4,186,2.1.1,1.2.0,6.1.4,None,None,2.2.0,00-03-01
19.2.4.1,e3955,2.6.8,None,2.2.2.p5,186,2.1.1,1.2.0,6.1.5,None,None,2.2.1,00-03-03
19.2.4.11,e4475,2.6.8,None,2.2.3.p3,210,2.1.1,1.2.0,6.1.5,None,None,2.2.1,00-03-04
19.2.4.11,e4539,2.6.8,None,2.2.3.p3,210,2.1.1,1.2.0,6.1.5,None,None,2.2.1,00-03-04
19.2.4.14,e4616,2.6.8,None,2.2.3.p4,210,2.1.1,1.2.0,6.1.5,None,None,2.4.0,00-03-04
19.2.4.16,e4711,2.6.8,None,2.2.3.p4,210,2.1.1,1.2.0,6.1.5,None,None,2.4.0,00-03-04
19.2.4.2,e4111,2.6.8,None,2.2.2.p6,186,2.1.1,1.2.0,6.1.5,None,None,2.2.1,00-03-03
19.2.4.2,e4324,2.6.8,None,2.2.2.p6,186,2.1.1,1.2.0,6.1.5,None,None,2.2.1,00-03-03
19.2.4.4,e4212,2.6.8,None,2.2.3,186,2.1.1,1.2.0,6.1.5,None,None,2.2.1,00-03-03
19.2.4.4,e4293,2.6.8,None,2.2.3,186,2.1.1,1.2.0,6.1.5,None,None,2.2.1,00-03-03
19.2.4.4,e4343,2.6.8,None,2.2.3,186,2.1.1,1.2.0,6.1.5,None,None,2.2.1,00-03-03
19.2.4.4,e4377,2.6.8,None,2.2.3,186,2.1.1,1.2.0,6.1.5,None,None,2.2.1,00-03-03
19.2.4.6,e4366,2.6.8,None,2.2.3.p1,205,2.1.1,1.2.0,6.1.5,None,None,2.2.1,00-03-03
19.2.4.9,e4364,2.6.8,None,2.2.3.p3,205,2.1.1,1.2.0,6.1.5,None,None,2.2.1,00-03-03
