#name, hash, bec, layer, phi, eta
LI_S15_C_34_M3_C7, 0, -4, 0, 0, 0
LI_S15_C_34_M4_C10, 1, -4, 0, 1, 0
LI_S15_C_12_M1_C1, 2, -4, 0, 2, 0
LI_S15_C_12_M2_C4, 3, -4, 0, 3, 0
LI_S15_C_34_M3_C8, 4, -4, 1, 0, 0
LI_S15_C_34_M4_C11, 5, -4, 1, 1, 0
LI_S15_C_12_M1_C2, 6, -4, 1, 2, 0
LI_S15_C_12_M2_C5, 7, -4, 1, 3, 0
LI_S15_C_34_M3_C9, 8, -4, 2, 0, 0
LI_S15_C_34_M4_C12, 9, -4, 2, 1, 0
LI_S15_C_12_M1_C3, 10, -4, 2, 2, 0
LI_S15_C_12_M2_C6, 11, -4, 2, 3, 0
D1C_B01_S2_M4, 12, -2, 0, 0, 0
D1C_B01_S2_M3, 13, -2, 0, 1, 0
D1C_B01_S2_M5, 14, -2, 0, 2, 0
D1C_B01_S2_M2, 15, -2, 0, 3, 0
D1C_B01_S2_M6, 16, -2, 0, 4, 0
D1C_B01_S2_M1, 17, -2, 0, 5, 0
D1C_B02_S1_M4, 18, -2, 0, 6, 0
D1C_B02_S1_M3, 19, -2, 0, 7, 0
D1C_B02_S1_M5, 20, -2, 0, 8, 0
D1C_B02_S1_M2, 21, -2, 0, 9, 0
D1C_B02_S1_M6, 22, -2, 0, 10, 0
D1C_B02_S1_M1, 23, -2, 0, 11, 0
D1C_B02_S2_M4, 24, -2, 0, 12, 0
D1C_B02_S2_M3, 25, -2, 0, 13, 0
D1C_B02_S2_M5, 26, -2, 0, 14, 0
D1C_B02_S2_M2, 27, -2, 0, 15, 0
D1C_B02_S2_M6, 28, -2, 0, 16, 0
D1C_B02_S2_M1, 29, -2, 0, 17, 0
D1C_B03_S1_M4, 30, -2, 0, 18, 0
D1C_B03_S1_M3, 31, -2, 0, 19, 0
D1C_B03_S1_M5, 32, -2, 0, 20, 0
D1C_B03_S1_M2, 33, -2, 0, 21, 0
D1C_B03_S1_M6, 34, -2, 0, 22, 0
D1C_B03_S1_M1, 35, -2, 0, 23, 0
D1C_B03_S2_M4, 36, -2, 0, 24, 0
D1C_B03_S2_M3, 37, -2, 0, 25, 0
D1C_B03_S2_M5, 38, -2, 0, 26, 0
D1C_B03_S2_M2, 39, -2, 0, 27, 0
D1C_B03_S2_M6, 40, -2, 0, 28, 0
D1C_B03_S2_M1, 41, -2, 0, 29, 0
D1C_B04_S1_M4, 42, -2, 0, 30, 0
D1C_B04_S1_M3, 43, -2, 0, 31, 0
D1C_B04_S1_M5, 44, -2, 0, 32, 0
D1C_B04_S1_M2, 45, -2, 0, 33, 0
D1C_B04_S1_M6, 46, -2, 0, 34, 0
D1C_B04_S1_M1, 47, -2, 0, 35, 0
D1C_B04_S2_M4, 48, -2, 0, 36, 0
D1C_B04_S2_M3, 49, -2, 0, 37, 0
D1C_B04_S2_M5, 50, -2, 0, 38, 0
D1C_B04_S2_M2, 51, -2, 0, 39, 0
D1C_B04_S2_M6, 52, -2, 0, 40, 0
D1C_B04_S2_M1, 53, -2, 0, 41, 0
D1C_B01_S1_M4, 54, -2, 0, 42, 0
D1C_B01_S1_M3, 55, -2, 0, 43, 0
D1C_B01_S1_M5, 56, -2, 0, 44, 0
D1C_B01_S1_M2, 57, -2, 0, 45, 0
D1C_B01_S1_M6, 58, -2, 0, 46, 0
D1C_B01_S1_M1, 59, -2, 0, 47, 0
D2C_B01_S2_M4, 60, -2, 1, 0, 0
D2C_B01_S2_M3, 61, -2, 1, 1, 0
D2C_B01_S2_M5, 62, -2, 1, 2, 0
D2C_B01_S2_M2, 63, -2, 1, 3, 0
D2C_B01_S2_M6, 64, -2, 1, 4, 0
D2C_B01_S2_M1, 65, -2, 1, 5, 0
D2C_B02_S1_M4, 66, -2, 1, 6, 0
D2C_B02_S1_M3, 67, -2, 1, 7, 0
D2C_B02_S1_M5, 68, -2, 1, 8, 0
D2C_B02_S1_M2, 69, -2, 1, 9, 0
D2C_B02_S1_M6, 70, -2, 1, 10, 0
D2C_B02_S1_M1, 71, -2, 1, 11, 0
D2C_B02_S2_M4, 72, -2, 1, 12, 0
D2C_B02_S2_M3, 73, -2, 1, 13, 0
D2C_B02_S2_M5, 74, -2, 1, 14, 0
D2C_B02_S2_M2, 75, -2, 1, 15, 0
D2C_B02_S2_M6, 76, -2, 1, 16, 0
D2C_B02_S2_M1, 77, -2, 1, 17, 0
D2C_B03_S1_M4, 78, -2, 1, 18, 0
D2C_B03_S1_M3, 79, -2, 1, 19, 0
D2C_B03_S1_M5, 80, -2, 1, 20, 0
D2C_B03_S1_M2, 81, -2, 1, 21, 0
D2C_B03_S1_M6, 82, -2, 1, 22, 0
D2C_B03_S1_M1, 83, -2, 1, 23, 0
D2C_B03_S2_M4, 84, -2, 1, 24, 0
D2C_B03_S2_M3, 85, -2, 1, 25, 0
D2C_B03_S2_M5, 86, -2, 1, 26, 0
D2C_B03_S2_M2, 87, -2, 1, 27, 0
D2C_B03_S2_M6, 88, -2, 1, 28, 0
D2C_B03_S2_M1, 89, -2, 1, 29, 0
D2C_B04_S1_M4, 90, -2, 1, 30, 0
D2C_B04_S1_M3, 91, -2, 1, 31, 0
D2C_B04_S1_M5, 92, -2, 1, 32, 0
D2C_B04_S1_M2, 93, -2, 1, 33, 0
D2C_B04_S1_M6, 94, -2, 1, 34, 0
D2C_B04_S1_M1, 95, -2, 1, 35, 0
D2C_B04_S2_M4, 96, -2, 1, 36, 0
D2C_B04_S2_M3, 97, -2, 1, 37, 0
D2C_B04_S2_M5, 98, -2, 1, 38, 0
D2C_B04_S2_M2, 99, -2, 1, 39, 0
D2C_B04_S2_M6, 100, -2, 1, 40, 0
D2C_B04_S2_M1, 101, -2, 1, 41, 0
